,userID,movieID,rating
0,1,1,4.0
1,1,3,4.0
2,1,6,4.0
3,1,47,5.0
4,1,50,5.0
5,1,70,3.0
7,1,110,4.0
10,1,163,5.0
12,1,223,3.0
13,1,231,5.0
14,1,235,4.0
15,1,260,5.0
16,1,296,3.0
17,1,316,3.0
19,1,349,4.0
20,1,356,4.0
22,1,367,4.0
25,1,457,5.0
26,1,480,4.0
27,1,500,3.0
28,1,527,5.0
30,1,552,4.0
31,1,553,5.0
32,1,590,4.0
33,1,592,4.0
34,1,593,4.0
35,1,596,5.0
36,1,608,5.0
37,1,648,3.0
39,1,673,3.0
40,1,733,4.0
41,1,736,3.0
42,1,780,3.0
44,1,919,5.0
45,1,923,5.0
60,1,1073,5.0
61,1,1080,5.0
62,1,1089,5.0
63,1,1090,4.0
65,1,1097,5.0
66,1,1127,4.0
67,1,1136,5.0
68,1,1196,5.0
69,1,1197,5.0
70,1,1198,5.0
71,1,1206,5.0
72,1,1208,4.0
73,1,1210,5.0
74,1,1213,5.0
75,1,1214,4.0
76,1,1219,2.0
77,1,1220,5.0
78,1,1222,5.0
81,1,1240,5.0
83,1,1258,3.0
84,1,1265,4.0
85,1,1270,5.0
87,1,1278,5.0
88,1,1282,5.0
89,1,1291,5.0
92,1,1377,3.0
97,1,1500,4.0
98,1,1517,5.0
99,1,1552,4.0
100,1,1573,5.0
101,1,1580,3.0
103,1,1617,5.0
105,1,1625,5.0
107,1,1676,3.0
108,1,1732,5.0
109,1,1777,4.0
115,1,1954,5.0
117,1,2000,4.0
118,1,2005,5.0
119,1,2012,4.0
121,1,2028,4.0
125,1,2054,4.0
127,1,2078,5.0
134,1,2115,5.0
141,1,2174,4.0
144,1,2268,4.0
146,1,2291,5.0
147,1,2329,5.0
149,1,2353,5.0
153,1,2395,5.0
154,1,2406,4.0
159,1,2470,5.0
162,1,2502,5.0
164,1,2529,5.0
165,1,2542,5.0
166,1,2571,5.0
170,1,2617,2.0
171,1,2628,4.0
172,1,2640,4.0
177,1,2657,3.0
178,1,2692,5.0
179,1,2700,5.0
180,1,2716,5.0
